-25.4225912529	2.89596052206	3.08463753586	-25.3865882061	2.70728350825	-25.4585942997	42.7150795924	201	714	0	118	3.26246529438
-25.4184643285	2.44105024977	2.69409975438	-25.3792608278	2.18800074517	-25.4576678292	56.9458535573	201	714	0	118	3.28917552968
-25.0996554379	1.32248095558	2.1084498544	-24.9702990789	0.536512056766	-25.2290117969	177.141860163	201	714	0	118	3.3354355757
-23.5517031318	-1.08632597437	0.102649776224	-23.3889802621	-2.27530172497	-23.7144260015	266.880130663	201	714	0	118	3.49417207103
-23.0595994798	-2.84492695017	-2.42223346797	-23.0233495908	-3.26762043236	-23.0958493689	94.3470655922	201	714	0	118	3.65986374185
-19.6532089507	-4.01755736631	-3.67564380132	-19.673179031	-4.3594709313	-19.6332388704	76.1671640879	201	714	0	118	3.79380357818
-18.3404598767	-5.61898449828	-4.52904191348	-18.3660700771	-6.70892708308	-18.3148496763	242.458767771	201	714	0	118	3.86779365106
-10.0683613258	-6.9069533087	-6.28786622188	-10.1250495604	-7.52604039552	-10.0116730911	138.246531527	201	714	0	118	4.13665354268
-9.73839527716	-7.86373124264	-7.53857240796	-9.77250938944	-8.18889007731	-9.70428116488	72.7016018062	201	714	0	118	4.2053430208
-9.36909359208	-8.48446811126	-8.1849847482	-9.42113157102	-8.78395147433	-9.31705561314	67.578536471	201	714	0	118	4.24368989463
